Company,Title,Preferred Qualifications
Google,Google Cloud Program Manager,"Experience in the business technology market as a program manager in SaaS, cloud computing, and/or emerging technologies.
Significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
Proven successful program outcomes from idea to launch in multiple contexts throughout your career.
Ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
Ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
Strong organization and communication skills."
Google,"Supplier Development Engineer (SDE), Cable/Connector","BSEE, BSME or BSIE degree.
Experience of using Statistics tools for Data analysis, e.g. distribution histogram/pareto chart, process control chart, Design of Experiment (DOE), Correlation Analysis, etc.
Demonstrated knowledge in PCBA manufacturing process and quality control.
Familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, LIM, MIM process and materials.
Self starter with innovation, integrity and attention to detail.
Ability to travel up to 50% of the time"
Google,"Data Analyst, Product and Tools Operations, Google Technical Services","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts."
Google,"Developer Advocate, Partner Engineering","Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes."
Google,"Program Manager, Audio Visual (AV) Deployments","CTS Certification.
Experience in the construction sector.
Experience with project management software and reporting tools.
Ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
Business management and consulting skills.
Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels."
Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience","Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively."
Google,"Supplier Development Engineer, Camera, Consumer Hardware","Master's degree.
Experience in the development of camera module integration processes or other related industries.
Experience managing functional Engineering teams.
Experience in project management including data handling, documentation, critical decision making and organization skills.
Knowledge of Quality and Statistical tools and methods.
Self-starter with innovation, integrity and attention to details."
Google,"Strategic Technology Partner Manager, Healthcare and Life Sciences","BA/BS degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in Partnership Management and Strategy/Business Development.
Background in Software Engineering and/or Product Management.
Experience managing and growing relationships with cross-functional teams internally and externally.
Demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace."
Google,"Manufacturing Business Manager, Google Hardware","MBA degree.
Experience in procurement and supply chain.
Ability to establish impactful partnerships, interpret legal documents and work with the Legal team to complete agreements.
Fluency in Mandarin and familiarity with international business customs.
Willingness to travel in Asia 25% of the time and for extended periods as required."
Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
